"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","GGDEBT","TOT","PC_GDP","A","2006",72.37356,
"AUT","GGDEBT","TOT","PC_GDP","A","2007",68.72357,
"AUT","GGDEBT","TOT","PC_GDP","A","2008",74.03658,
"AUT","GGDEBT","TOT","PC_GDP","A","2009",86.25144,
"AUT","GGDEBT","TOT","PC_GDP","A","2010",90.30674,
"AUT","GGDEBT","TOT","PC_GDP","A","2011",91.32893,
"AUT","GGDEBT","TOT","PC_GDP","A","2012",97.52871,
"AUT","GGDEBT","TOT","PC_GDP","A","2013",93.60936,
"AUT","GGDEBT","TOT","PC_GDP","A","2014",102.1861,
"BEL","GGDEBT","TOT","PC_GDP","A","2006",99.8304,
"BEL","GGDEBT","TOT","PC_GDP","A","2007",93.61939,
"BEL","GGDEBT","TOT","PC_GDP","A","2008",100.9274,
"BEL","GGDEBT","TOT","PC_GDP","A","2009",109.3158,
"BEL","GGDEBT","TOT","PC_GDP","A","2010",107.5729,
"BEL","GGDEBT","TOT","PC_GDP","A","2011",109.9605,
"BEL","GGDEBT","TOT","PC_GDP","A","2012",120.0572,
"BEL","GGDEBT","TOT","PC_GDP","A","2013",117.8884,
"BEL","GGDEBT","TOT","PC_GDP","A","2014",129.5141,
"CZE","GGDEBT","TOT","PC_GDP","A","2006",31.57946,
"CZE","GGDEBT","TOT","PC_GDP","A","2007",30.25117,
"CZE","GGDEBT","TOT","PC_GDP","A","2008",34.20246,
"CZE","GGDEBT","TOT","PC_GDP","A","2009",41.01364,
"CZE","GGDEBT","TOT","PC_GDP","A","2010",45.79104,
"CZE","GGDEBT","TOT","PC_GDP","A","2011",48.07413,
"CZE","GGDEBT","TOT","PC_GDP","A","2012",57.81335,
"CZE","GGDEBT","TOT","PC_GDP","A","2013",57.91832,
"CZE","GGDEBT","TOT","PC_GDP","A","2014",57.0467,
"DNK","GGDEBT","TOT","PC_GDP","A","2006",40.48177,
"DNK","GGDEBT","TOT","PC_GDP","A","2007",34.58549,
"DNK","GGDEBT","TOT","PC_GDP","A","2008",42.03144,
"DNK","GGDEBT","TOT","PC_GDP","A","2009",49.49534,
"DNK","GGDEBT","TOT","PC_GDP","A","2010",53.80605,
"DNK","GGDEBT","TOT","PC_GDP","A","2011",60.55217,
"DNK","GGDEBT","TOT","PC_GDP","A","2012",61.48778,
"DNK","GGDEBT","TOT","PC_GDP","A","2013",57.96889,
"DNK","GGDEBT","TOT","PC_GDP","A","2014",60.63321,
"FIN","GGDEBT","TOT","PC_GDP","A","2006",43.08167,
"FIN","GGDEBT","TOT","PC_GDP","A","2007",39.09392,
"FIN","GGDEBT","TOT","PC_GDP","A","2008",38.27919,
"FIN","GGDEBT","TOT","PC_GDP","A","2009",49.23079,
"FIN","GGDEBT","TOT","PC_GDP","A","2010",55.06467,
"FIN","GGDEBT","TOT","PC_GDP","A","2011",57.52048,
"FIN","GGDEBT","TOT","PC_GDP","A","2012",63.3831,
"FIN","GGDEBT","TOT","PC_GDP","A","2013",64.42689,
"FIN","GGDEBT","TOT","PC_GDP","A","2014",71.0388,
"FRA","GGDEBT","TOT","PC_GDP","A","2006",76.85946,
"FRA","GGDEBT","TOT","PC_GDP","A","2007",75.56451,
"FRA","GGDEBT","TOT","PC_GDP","A","2008",81.51089,
"FRA","GGDEBT","TOT","PC_GDP","A","2009",93.15648,
"FRA","GGDEBT","TOT","PC_GDP","A","2010",96.82564,
"FRA","GGDEBT","TOT","PC_GDP","A","2011",100.6963,
"FRA","GGDEBT","TOT","PC_GDP","A","2012",110.4441,
"FRA","GGDEBT","TOT","PC_GDP","A","2013",110.1268,
"FRA","GGDEBT","TOT","PC_GDP","A","2014",119.1881,
"DEU","GGDEBT","TOT","PC_GDP","A","2006",68.35295,
"DEU","GGDEBT","TOT","PC_GDP","A","2007",64.31353,
"DEU","GGDEBT","TOT","PC_GDP","A","2008",68.12452,
"DEU","GGDEBT","TOT","PC_GDP","A","2009",75.55335,
"DEU","GGDEBT","TOT","PC_GDP","A","2010",84.05901,
"DEU","GGDEBT","TOT","PC_GDP","A","2011",83.48793,
"DEU","GGDEBT","TOT","PC_GDP","A","2012",86.367,
"DEU","GGDEBT","TOT","PC_GDP","A","2013",81.56008,
"DEU","GGDEBT","TOT","PC_GDP","A","2014",82.22421,
"GRC","GGDEBT","TOT","PC_GDP","A","2006",115.7789,
"GRC","GGDEBT","TOT","PC_GDP","A","2007",113.1486,
"GRC","GGDEBT","TOT","PC_GDP","A","2008",117.4331,
"GRC","GGDEBT","TOT","PC_GDP","A","2009",134.704,
"GRC","GGDEBT","TOT","PC_GDP","A","2010",128.407,
"GRC","GGDEBT","TOT","PC_GDP","A","2011",110.67,
"GRC","GGDEBT","TOT","PC_GDP","A","2012",167.0213,
"GRC","GGDEBT","TOT","PC_GDP","A","2013",181.7227,
"GRC","GGDEBT","TOT","PC_GDP","A","2014",179.7565,
"HUN","GGDEBT","TOT","PC_GDP","A","2006",70.73196,
"HUN","GGDEBT","TOT","PC_GDP","A","2007",71.46198,
"HUN","GGDEBT","TOT","PC_GDP","A","2008",75.02068,
"HUN","GGDEBT","TOT","PC_GDP","A","2009",84.10934,
"HUN","GGDEBT","TOT","PC_GDP","A","2010",86.00735,
"HUN","GGDEBT","TOT","PC_GDP","A","2011",95.00625,
"HUN","GGDEBT","TOT","PC_GDP","A","2012",97.88973,
"HUN","GGDEBT","TOT","PC_GDP","A","2013",95.87524,
"HUN","GGDEBT","TOT","PC_GDP","A","2014",99.26364,
"IRL","GGDEBT","TOT","PC_GDP","A","2006",27.59631,
"IRL","GGDEBT","TOT","PC_GDP","A","2007",27.43821,
"IRL","GGDEBT","TOT","PC_GDP","A","2008",47.4947,
"IRL","GGDEBT","TOT","PC_GDP","A","2009",67.82793,
"IRL","GGDEBT","TOT","PC_GDP","A","2010",84.60047,
"IRL","GGDEBT","TOT","PC_GDP","A","2011",109.1882,
"IRL","GGDEBT","TOT","PC_GDP","A","2012",129.7275,
"IRL","GGDEBT","TOT","PC_GDP","A","2013",133.0198,
"IRL","GGDEBT","TOT","PC_GDP","A","2014",125.3722,
"ITA","GGDEBT","TOT","PC_GDP","A","2006",114.9604,
"ITA","GGDEBT","TOT","PC_GDP","A","2007",110.6284,
"ITA","GGDEBT","TOT","PC_GDP","A","2008",112.9236,
"ITA","GGDEBT","TOT","PC_GDP","A","2009",125.8874,
"ITA","GGDEBT","TOT","PC_GDP","A","2010",124.7745,
"ITA","GGDEBT","TOT","PC_GDP","A","2011",117.752,
"ITA","GGDEBT","TOT","PC_GDP","A","2012",135.9854,
"ITA","GGDEBT","TOT","PC_GDP","A","2013",143.1771,
"ITA","GGDEBT","TOT","PC_GDP","A","2014",156.2323,
"LUX","GGDEBT","TOT","PC_GDP","A","2006",11.8514,
"LUX","GGDEBT","TOT","PC_GDP","A","2007",11.63112,
"LUX","GGDEBT","TOT","PC_GDP","A","2008",19.24231,
"LUX","GGDEBT","TOT","PC_GDP","A","2009",18.9381,
"LUX","GGDEBT","TOT","PC_GDP","A","2010",26.20637,
"LUX","GGDEBT","TOT","PC_GDP","A","2011",26.98074,
"LUX","GGDEBT","TOT","PC_GDP","A","2012",30.61716,
"LUX","GGDEBT","TOT","PC_GDP","A","2013",29.97486,
"LUX","GGDEBT","TOT","PC_GDP","A","2014",33.66964,
"NLD","GGDEBT","TOT","PC_GDP","A","2006",50.96873,
"NLD","GGDEBT","TOT","PC_GDP","A","2007",48.15908,
"NLD","GGDEBT","TOT","PC_GDP","A","2008",60.9749,
"NLD","GGDEBT","TOT","PC_GDP","A","2009",63.69239,
"NLD","GGDEBT","TOT","PC_GDP","A","2010",67.61107,
"NLD","GGDEBT","TOT","PC_GDP","A","2011",71.60137,
"NLD","GGDEBT","TOT","PC_GDP","A","2012",77.35119,
"NLD","GGDEBT","TOT","PC_GDP","A","2013",76.35502,
"NLD","GGDEBT","TOT","PC_GDP","A","2014",81.04169,
"POL","GGDEBT","TOT","PC_GDP","A","2006",54.50029,
"POL","GGDEBT","TOT","PC_GDP","A","2007",50.87923,
"POL","GGDEBT","TOT","PC_GDP","A","2008",53.93354,
"POL","GGDEBT","TOT","PC_GDP","A","2009",57.11231,
"POL","GGDEBT","TOT","PC_GDP","A","2010",60.66108,
"POL","GGDEBT","TOT","PC_GDP","A","2011",61.14658,
"POL","GGDEBT","TOT","PC_GDP","A","2012",60.70926,
"POL","GGDEBT","TOT","PC_GDP","A","2013",62.55463,
"POL","GGDEBT","TOT","PC_GDP","A","2014",65.85766,
"PRT","GGDEBT","TOT","PC_GDP","A","2006",79.40868,
"PRT","GGDEBT","TOT","PC_GDP","A","2007",78.10067,
"PRT","GGDEBT","TOT","PC_GDP","A","2008",82.76154,
"PRT","GGDEBT","TOT","PC_GDP","A","2009",96.11208,
"PRT","GGDEBT","TOT","PC_GDP","A","2010",104.0708,
"PRT","GGDEBT","TOT","PC_GDP","A","2011",107.8454,
"PRT","GGDEBT","TOT","PC_GDP","A","2012",136.8619,
"PRT","GGDEBT","TOT","PC_GDP","A","2013",140.6734,
"PRT","GGDEBT","TOT","PC_GDP","A","2014",149.9428,
"SVK","GGDEBT","TOT","PC_GDP","A","2006",35.9645,
"SVK","GGDEBT","TOT","PC_GDP","A","2007",34.50111,
"SVK","GGDEBT","TOT","PC_GDP","A","2008",33.47353,
"SVK","GGDEBT","TOT","PC_GDP","A","2009",42.03369,
"SVK","GGDEBT","TOT","PC_GDP","A","2010",46.88969,
"SVK","GGDEBT","TOT","PC_GDP","A","2011",49.3638,
"SVK","GGDEBT","TOT","PC_GDP","A","2012",57.73302,
"SVK","GGDEBT","TOT","PC_GDP","A","2013",60.68576,
"SVK","GGDEBT","TOT","PC_GDP","A","2014",60.11614,
"ESP","GGDEBT","TOT","PC_GDP","A","2006",45.6857,
"ESP","GGDEBT","TOT","PC_GDP","A","2007",41.72965,
"ESP","GGDEBT","TOT","PC_GDP","A","2008",47.13713,
"ESP","GGDEBT","TOT","PC_GDP","A","2009",61.73865,
"ESP","GGDEBT","TOT","PC_GDP","A","2010",66.49888,
"ESP","GGDEBT","TOT","PC_GDP","A","2011",77.517,
"ESP","GGDEBT","TOT","PC_GDP","A","2012",92.02894,
"ESP","GGDEBT","TOT","PC_GDP","A","2013",103.8197,
"ESP","GGDEBT","TOT","PC_GDP","A","2014",117.7329,
"SWE","GGDEBT","TOT","PC_GDP","A","2006",57.59511,
"SWE","GGDEBT","TOT","PC_GDP","A","2007",51.90717,
"SWE","GGDEBT","TOT","PC_GDP","A","2008",50.68481,
"SWE","GGDEBT","TOT","PC_GDP","A","2009",54.54791,
"SWE","GGDEBT","TOT","PC_GDP","A","2010",51.92642,
"SWE","GGDEBT","TOT","PC_GDP","A","2011",52.7993,
"SWE","GGDEBT","TOT","PC_GDP","A","2012",53.39025,
"SWE","GGDEBT","TOT","PC_GDP","A","2013",55.93774,
"SWE","GGDEBT","TOT","PC_GDP","A","2014",62.48607,
"GBR","GGDEBT","TOT","PC_GDP","A","2006",55.30655,
"GBR","GGDEBT","TOT","PC_GDP","A","2007",55.61868,
"GBR","GGDEBT","TOT","PC_GDP","A","2008",68.29416,
"GBR","GGDEBT","TOT","PC_GDP","A","2009",81.69852,
"GBR","GGDEBT","TOT","PC_GDP","A","2010",92.81809,
"GBR","GGDEBT","TOT","PC_GDP","A","2011",106.7283,
"GBR","GGDEBT","TOT","PC_GDP","A","2012",111.0081,
"GBR","GGDEBT","TOT","PC_GDP","A","2013",106.2792,
"GBR","GGDEBT","TOT","PC_GDP","A","2014",116.7622,
"EST","GGDEBT","TOT","PC_GDP","A","2006",8.002686,
"EST","GGDEBT","TOT","PC_GDP","A","2007",7.244682,
"EST","GGDEBT","TOT","PC_GDP","A","2008",8.399088,
"EST","GGDEBT","TOT","PC_GDP","A","2009",12.62136,
"EST","GGDEBT","TOT","PC_GDP","A","2010",11.92719,
"EST","GGDEBT","TOT","PC_GDP","A","2011",9.360659,
"EST","GGDEBT","TOT","PC_GDP","A","2012",12.93233,
"EST","GGDEBT","TOT","PC_GDP","A","2013",13.35325,
"EST","GGDEBT","TOT","PC_GDP","A","2014",13.64997,
"SVN","GGDEBT","TOT","PC_GDP","A","2006",33.26849,
"SVN","GGDEBT","TOT","PC_GDP","A","2007",29.11876,
"SVN","GGDEBT","TOT","PC_GDP","A","2008",28.34694,
"SVN","GGDEBT","TOT","PC_GDP","A","2009",42.49548,
"SVN","GGDEBT","TOT","PC_GDP","A","2010",46.80514,
"SVN","GGDEBT","TOT","PC_GDP","A","2011",50.35464,
"SVN","GGDEBT","TOT","PC_GDP","A","2012",60.59193,
"SVN","GGDEBT","TOT","PC_GDP","A","2013",79.54055,
"SVN","GGDEBT","TOT","PC_GDP","A","2014",97.2597,
